configuration,run_id,task_id,category,difficulty,format_valid,functional_success,clean_success,use_skills_correct,final_status_correct,no_tool_correct,blocked_flow_correct,skill_precision,skill_recall,skill_f1,department_precision,department_recall,department_f1,required_order_accuracy,gold_constraint_violated,blocked_reason_f1,route_choice_correct,predicted_skill_count,required_skill_count,unnecessary_skill_count,unknown_skills,unknown_blockers,unknown_departments,missing_required_skills,extra_skills,hard_order_results,unsatisfied_order_pairs,forbidden_hits,conflict_violations,mutex_violations,missing_departments,extra_departments,duplicate_skills,repeated_initial_skills,aliases_used,primary_failure,secondary_failures,model_reason,source_file,source_line
C,run_04,GT01_SINGLE,single_skill,easy,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,1,1,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],候选供应商名单已具备，当前仅需进行资质、合规、风险、能力和准入检查，无需搜索、询价、评分或选商。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT01_SINGLE.json,
C,run_04,GT02_FIN_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,2,2,0,[],[],[],[],[],"[{""before"": ""finance-accounting"", ""after"": ""finance-reporting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],款项已批准并支付，无需重复走费用或付款流程；财务应先依据凭证补录本月账务并完成借贷、期间及来源核对，再基于已入账数据生成和勾稽本月管理财务报表。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT02_FIN_GOAL.json,
C,run_04,GT03_PROC_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,6,6,0,[],[],[],[],[],"[{""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],采购需求和预算已确认，应从供应商搜索开始，依次完成资质准入、询价、比价、综合评分和最终选商；不包含谈判、合同或采购订单。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT03_PROC_GOAL.json,
C,run_04,GT04_TECH_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,4,4,0,[],[],[],[],[],"[{""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-specification-confirmation"", ""after"": ""technology-solution-design"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-solution-design"", ""after"": ""technology-task-breakdown"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],技术需求已整理完成，应依次完成可行性评估、规格确认、方案设计和任务拆解，形成可进入开发阶段的实施方案；本次不调用开发实施 Skill。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT04_TECH_GOAL.json,
C,run_04,GT05_BUS_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],"[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],该任务对应客户需求澄清、商机评估及通过评估后的方案报价，且明确排除谈判与签约。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT05_BUS_GOAL.json,
C,run_04,GT06_HR_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],"[{""before"": ""hr-jd-generator"", ""after"": ""hr-recruitment-publish"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-recruitment-publish"", ""after"": ""hr-resume-screening"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],岗位需求与招聘预算均已批准，应依次生成JD、发布职位并筛选申请形成面试候选名单；按要求不安排面试或生成Offer。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT06_HR_GOAL.json,
C,run_04,GT07_CROSS_CUSTOM_TECH_SUPPLIER,cross_department_goal,hard,True,False,False,True,True,,,0.823529,1.0,0.903226,1.0,1.0,1.0,1.0,True,1.0,True,17,14,3,[],[],[],[],"[""business-customer-lead"", ""finance-budget-planning"", ""technology-solution-design""]","[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-requirement"", ""after"": ""technology-feasibility-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-solution-quotation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-specification-confirmation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-requirement"", ""after"": ""finance-budget-check"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-budget-check"", ""after"": ""procurement-supplier-search"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],"[""business-customer-lead""]",[],REPEATED_COMPLETED_SKILL,"[""UNNECESSARY_SKILL""]",从客户线索依次确认需求、商机、技术可行性与规格，完成预算准备和供应商搜索、准入、询价、比价、评分及选商，并在客户合同、供应合同和采购订单之前停止。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json,
C,run_04,GT08_CROSS_TECH_DELIVERY_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.0,False,6,6,0,[],[],[],[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],"[{""decision_id"": ""acceptance_route"", ""expected_choice"": ""technical_acceptance"", ""actual_choice"": ""technology-test-acceptance"", ""type"": ""wrong_route_choice""}]",[],[],[],[],[],WRONG_FINAL_STATUS,"[""MUTEX_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",技术设备应走技术验收路线；当前技术验收及后续采购交付验收尚未完成，因此发票核验、付款审批和入账均被阻塞。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json,
C,run_04,GT09_CROSS_BUS_SERVICE_PAYMENT,cross_department_goal,hard,True,False,False,True,True,,,1.0,0.833333,0.909091,1.0,1.0,1.0,0.8,True,1.0,False,5,6,0,[],[],[],"[""procurement-delivery-tracking""]",[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""business-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}]",[],[],"[{""decision_id"": ""acceptance_route"", ""expected_choice"": ""business_acceptance"", ""actual_choice"": ""business-acceptance"", ""type"": ""wrong_route_choice""}]",[],[],[],[],[],WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MUTEX_VIOLATION""]",采用业务验收路线，先确认咨询成果，再完成采购验收、发票核验、付款审批和入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json,
C,run_04,GT10_CROSS_ONBOARDING_EQUIPMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.0,False,5,5,0,[],[],[],[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""hr-onboarding"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-onboarding"", ""after"": ""hr-employee-database"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],"[{""decision_id"": ""acceptance_route"", ""expected_choice"": ""technical_acceptance"", ""actual_choice"": ""technology-test-acceptance"", ""type"": ""wrong_route_choice""}]",[],[],[],[],[],WRONG_FINAL_STATUS,"[""MUTEX_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",电脑属于技术采购，应先跟踪交付并完成技术测试和采购验收，再办理入职及员工信息归档；当前设备尚未交付验收，因此流程受阻。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/C/size_46/run_04/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json,
