configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
A,run_02,GT07_CROSS_CUSTOM_TECH_SUPPLIER,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""UNNECESSARY_SKILL""]",[],需先通过客户沟通确认需求并形成可行技术方向，再明确采购规格、核验预算并完成供应商搜寻、准入、比价、评分和选商；当前客户需求与预算均未确认，因此暂时阻塞，且不进入任何合同或采购订单环节。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
A,run_02,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""WRONG_ROUTE_CHOICE""]",[],设备虽已送达且发票已提交，但技术验收尚未完成；需先完成技术与采购交付验收，随后才能核验发票、审批付款并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
A,run_02,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MUTEX_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",[],采用业务验收路线；需先由业务团队确认咨询成果符合约定，之后才能核验发票、审批付款并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json
A,run_02,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT""]",[],采购订单已生成，应先跟踪设备交付并完成验收；Offer已接受，可衔接入职准备，最后将员工信息归档。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json
A,run_02,GT11_CROSS_RECRUIT_BUDGET_OFFER,WRONG_FINAL_STATUS,[],[],岗位需求和标准已具备，须先确认招聘预算；预算通过后依次生成JD、发布招聘、筛选简历、安排面试并向获批终选候选人生成Offer，不进入入职流程。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT11_CROSS_RECRUIT_BUDGET_OFFER.json
A,run_02,GT12_CROSS_BUSINESS_TO_PO,MISSING_REQUIRED_SKILL,"[""ORDER_VIOLATION""]",[],线索已建档，无需重复创建；应先确认客户需求并评估商机，商机可行后形成采购需求、核查预算，再依次完成供应商寻源、准入、询价比价、评分选商、谈判、供应合同和采购订单。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT12_CROSS_BUSINESS_TO_PO.json
A,run_02,GT13_CROSS_INTERNAL_DEV_STAFF_DATA,WRONG_ROUTE_CHOICE,[],[],技术需求已识别，可先查询员工技能与经验数据完成可行性评估，再确认规格、形成技术方案并按人员能力拆解和分配可执行任务；当前不进入开发实施。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT13_CROSS_INTERNAL_DEV_STAFF_DATA.json
A,run_02,GT14_CROSS_PAYMENT_PERFORMANCE,WRONG_FINAL_STATUS,[],[],可完成发票核验、付款审批材料、记账草案和供应商履约评价，但目录中的付款技能不执行实际付款，账务技能仅准备入账，无法满足“完成付款和入账”。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT14_CROSS_PAYMENT_PERFORMANCE.json
A,run_02,GT16_SPECIAL_SUPPLIER_FAIL,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],唯一候选供应商资质不合格，未形成获批选商结果，系统必须阻断选商及合同生成，业务负责人的立即确定要求不能绕过准入门禁。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT16_SPECIAL_SUPPLIER_FAIL.json
A,run_02,GT17_SPECIAL_INVALID_INVOICE,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],发票无效或与合同、订单不匹配，未满足付款审批的已核验发票前置条件，系统应阻止付款并等待更正。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT17_SPECIAL_INVALID_INVOICE.json
A,run_02,GT18_SPECIAL_BUILD_OR_BUY,WRONG_ROUTE_CHOICE,[],[],技术需求已识别且已确定内部开发，应依次完成可行性评估、规格确认、方案设计、任务拆解、开发实施和技术测试验收，无需采购类 Skills。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT18_SPECIAL_BUILD_OR_BUY.json
