configuration,run_id,task_id,category,difficulty,format_valid,functional_success,clean_success,use_skills_correct,final_status_correct,no_tool_correct,blocked_flow_correct,skill_precision,skill_recall,skill_f1,department_precision,department_recall,department_f1,required_order_accuracy,gold_constraint_violated,blocked_reason_f1,route_choice_correct,predicted_skill_count,required_skill_count,unnecessary_skill_count,unknown_skills,unknown_blockers,unknown_departments,missing_required_skills,extra_skills,hard_order_results,unsatisfied_order_pairs,forbidden_hits,conflict_violations,mutex_violations,missing_departments,extra_departments,duplicate_skills,repeated_initial_skills,aliases_used,primary_failure,secondary_failures,model_reason,source_file,source_line
A,run_02,GT01_SINGLE,single_skill,easy,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,1,1,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],候选供应商名单已具备，当前仅需进行资质、合规、风险、能力和准入检查，无需搜索、询价、评分或选商。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT01_SINGLE.json,
A,run_02,GT02_FIN_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,2,2,0,[],[],[],[],[],"[{""before"": ""finance-accounting"", ""after"": ""finance-reporting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],款项已完成审批和支付，无需重复付款流程；应先补录并核验账务，再基于已入账数据生成本月财务报表。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT02_FIN_GOAL.json,
A,run_02,GT03_PROC_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,6,6,0,[],[],[],[],[],"[{""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],需求和预算已确认，应依次完成供应商发现、资质准入、询价、比价、综合评分和最终选商；无需谈判、合同或采购订单相关 Skill。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT03_PROC_GOAL.json,
A,run_02,GT04_TECH_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,4,4,0,[],[],[],[],[],"[{""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-specification-confirmation"", ""after"": ""technology-solution-design"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-solution-design"", ""after"": ""technology-task-breakdown"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],技术需求已整理完成，应依次完成可行性评估、规格确认、方案设计和任务拆解，形成可进入开发阶段的实施方案；本次不调用开发实施 Skill。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT04_TECH_GOAL.json,
A,run_02,GT05_BUS_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],"[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],先澄清需求、预算和交付预期，再评估商机；仅在值得推进时形成初步方案与报价，不进入谈判或签约。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT05_BUS_GOAL.json,
A,run_02,GT06_HR_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],"[{""before"": ""hr-jd-generator"", ""after"": ""hr-recruitment-publish"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-recruitment-publish"", ""after"": ""hr-resume-screening"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],岗位需求和预算均已批准，应先生成并发布JD，再按岗位标准筛选申请形成面试候选名单；不进入面试或Offer阶段。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT06_HR_GOAL.json,
A,run_02,GT07_CROSS_CUSTOM_TECH_SUPPLIER,cross_department_goal,hard,True,False,False,True,False,,,0.928571,0.928571,0.928571,1.0,1.0,1.0,0.846154,True,0.0,True,14,14,1,[],[],[],"[""business-solution-quotation""]","[""business-customer-lead""]","[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""technology-requirement"", ""after"": ""technology-feasibility-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-solution-quotation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""technology-specification-confirmation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-requirement"", ""after"": ""finance-budget-check"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-budget-check"", ""after"": ""procurement-supplier-search"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""business-solution-quotation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}]",[],[],[],[],[],[],"[""business-customer-lead""]",[],WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""UNNECESSARY_SKILL""]",需先通过客户沟通确认需求并形成可行技术方向，再明确采购规格、核验预算并完成供应商搜寻、准入、比价、评分和选商；当前客户需求与预算均未确认，因此暂时阻塞，且不进入任何合同或采购订单环节。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json,
A,run_02,GT08_CROSS_TECH_DELIVERY_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.0,False,6,6,0,[],[],[],[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],WRONG_FINAL_STATUS,"[""WRONG_ROUTE_CHOICE""]",设备虽已送达且发票已提交，但技术验收尚未完成；需先完成技术与采购交付验收，随后才能核验发票、审批付款并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json,
A,run_02,GT09_CROSS_BUS_SERVICE_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,0.666667,0.8,1.0,0.666667,0.8,0.4,True,0.0,False,4,6,0,[],[],[],"[""procurement-delivery-acceptance"", ""procurement-delivery-tracking""]",[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""business-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""business-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}]",[],[],"[{""decision_id"": ""acceptance_route"", ""expected_choice"": ""business_acceptance"", ""actual_choice"": ""business-acceptance"", ""type"": ""wrong_route_choice""}]","[""procurement-agent""]",[],[],[],[],WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MUTEX_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",采用业务验收路线；需先由业务团队确认咨询成果符合约定，之后才能核验发票、审批付款并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json,
A,run_02,GT10_CROSS_ONBOARDING_EQUIPMENT,cross_department_goal,hard,True,False,False,True,True,,,1.0,0.8,0.888889,1.0,0.666667,0.8,0.5,True,1.0,False,4,5,0,[],[],[],"[""technology-test-acceptance""]",[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""hr-onboarding"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-onboarding"", ""after"": ""hr-employee-database"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}]",[],[],[],"[""technology-agent""]",[],[],[],[],WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT""]",采购订单已生成，应先跟踪设备交付并完成验收；Offer已接受，可衔接入职准备，最后将员工信息归档。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/A/size_46/run_02/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json,
